"פריט","שם פריט","מחיר מכירה","סה''כ","ראשי","מכולה וינגייט","רמת גן","ספורט & מור רמלה","WIX"
"29015400065","מכנסון גבר CRAZY KOK","","","","","","",""
"29015400070","מכנסון גבר CRAZY KOK","","","","","","",""
"29015400085","מכנסון גבר CRAZY KOK","","","","","","",""
"29015400090","מכנסון גבר CRAZY KOK","","","","","","",""
"29015400095","מכנסון גבר CRAZY KOK","","","","","","",""
"45566167804","D TB ATP CHAMPI","29.90","","","","","",""
"68279500018","מעיל פארקה פיסטון חד","499.00","","","","","",""
"69520495994","משרוקית F40","25.00","-45","-45","","","",""
"72489708234","כדוור טניס (3) HEAD","35.00","-1","","","","","-1"
"72489717014","שישיית כדורים HEAD P","59.00","-2","","","","","-2"
"80615830036","כפ.ארנה איטליה אצבע","","","","","","",""
"80615830037","כפ.ארנה איטליה אצבע","","","","","","",""
"80615830038","כפ.ארנה איטליה אצבע","","","","","","",""
"80615830039","כפ.ארנה איטליה אצבע","","","","","","",""
"80615830040","כפ.ארנה איטליה אצבע","","","","","","",""
"80615830041","כפ.ארנה איטליה אצבע","","","","","","",""
"80679830036","כפ.ארנה איטליה נשים","","","","","","",""
"80679830037","כפ.ארנה איטליה נשים","","","","","","",""
"80679830038","כפ.ארנה איטליה נשים","","","","","","",""
"80679830039","כפ.ארנה איטליה נשים","","","","","","",""
"80679830040","כפ.ארנה איטליה נשים","","","","","","",""
"80679830041","כפ.ארנה איטליה נשים","","","","","","",""
"80702500042","כפ.ארנה איטליה גבר ה","","","","","","",""
"80702500043","כפ.ארנה איטליה גבר ה","","","","","","",""
"80702500044","כפ.ארנה איטליה גבר ה","","","","","","",""
"80702500045","כפ.ארנה איטליה גבר ה","","","","","","",""
"80702500046","כפ.ארנה איטליה גבר ה","","","","","","",""
"80702500048","כפ.ארנה איטליה גבר ה","","","","","","",""
"80705500040","כפ.ארנה איטליה גבר פ","","","","","","",""
"80705500041","כפ.ארנה איטליה גבר פ","","","","","","",""
"80705500042","כפ.ארנה איטליה גבר פ","","","","","","",""
"80705500043","כפ.ארנה איטליה גבר פ","","","","","","",""
"80705500044","כפ.ארנה איטליה גבר פ","","","","","","",""
"80705500045","כפ.ארנה איטליה גבר פ","","","","","","",""
"80705500046","כפ.ארנה איטליה גבר פ","","","","","","",""
"80705500047","כפ.ארנה איטליה גבר פ","","","","","","",""
"80705500048","כפ.ארנה איטליה גבר פ","","","","","","",""
"80705750040","כפ.ארנה איטליה גבר פ","","","","","","",""
"80705750041","כפ.ארנה איטליה גבר פ","","","","","","",""
"80705750042","כפ.ארנה איטליה גבר פ","","","","","","",""
"80705750043","כפ.ארנה איטליה גבר פ","","","","","","",""
"80705750044","כפ.ארנה איטליה גבר פ","","","","","","",""
"80705750045","כפ.ארנה איטליה גבר פ","","","","","","",""
"80705750046","כפ.ארנה איטליה גבר פ","","","","","","",""
"81267700033","כפ.ארנה איטליה ילד נ","","","","","","",""
"81267700034","כפ.ארנה איטליה ילד נ","","","","","","",""
"81267700035","כפ.ארנה איטליה ילד נ","","","","","","",""
"81267700036","כפ.ארנה איטליה ילד נ","","","","","","",""
