"#","פריט","שם פריט","מחיר מכירה","מלאי","ראשי","מכולה וינגייט","רמת גן","ספורט & מור רמלה","WIX"
"1668","3468335505824","2XLTL WARM UP PANT R","149.90","1","","","1","",""
"1669","3468335505848","TL WARM UP PANT","149.90","10","1","9","","",""
"1670","3468335505855","TL WARM UP PANT","149.00","1","","","1","",""
"1671","3468335505862","TL WARM UP PANT","149.00","1","","","1","",""
"1672","3468335505879","TL WARM UP PANT","149.00","1","","","1","",""
"1673","3468335505886","TL WARM UP PANT","149.00","1","","","1","",""
"1674","3468335505893","TL WARM UP PANT","149.00","1","","","1","",""
"1675","3468335505916","TL WARM UP PANT","149.00","1","","","1","",""
"1676","3468335505923","TL WARM UP PANT","149.00","","","","","",""
"1677","3468335505930","TL WARM UP PANT","149.00","","","","","",""
"1678","3468335505947","TL WARM UP PANT","149.00","1","","","1","",""
"1679","3468335505954","TL WARM UP PANT","149.00","","","","","",""
"1680","3468335505961","TL WARM UP PANT","149.00","1","","","1","",""
"1681","3468335505985","TL WARM UP PANT","149.00","1","","","1","",""
"1682","3468335505992","TL WARM UP PANT","149.00","","","","","",""
"1683","3468335506005","TL WARM UP PANT","149.00","1","","","1","",""
"1684","3468335506012","TL WARM UP PANT","149.00","","","","","",""
"1685","3468335506029","TL WARM UP PANT","149.00","1","","","1","",""
"1686","3468335506036","TL WARM UP PANT","149.00","1","","","1","",""
"1687","3468335506050","TL KNITTED POLY","179.00","10","","9","1","",""
"1688","3468335506067","TL KNITTED POLY","179.00","8","","7","1","",""
"1689","3468335506074","TL KNITTED POLY","179.00","7","","6","1","",""
"1690","3468335506081","TL KNITTED POLY","179.00","7","3","3","1","",""
"1691","3468335506098","TL KNITTED POLY","179.00","8","1","6","1","",""
"1692","3468335506104","TL KNITTED POLY","179.00","10","","9","1","",""
"1693","3468335506111","TL KNITTED POLY","179.00","4","","3","1","",""
"1694","3468335506135","TL KNITTED POLY","179.00","9","","9","","",""
"1695","3468335506142","TL KNITTED POLY","179.00","8","2","6","","",""
"1696","3468335506159","TL KNITTED POLY","179.00","6","1","5","","",""
"1697","3468335506166","TL KNITTED POLY","179.00","6","","6","","",""
"1698","3468335506173","TL KNITTED POLY","179.00","6","","6","","",""
"1699","3468335506180","2XLTL KNITTED POLY J","179.00","9","1","8","","",""
"1700","3468335506197","TL KNITTED POLY","179.00","3","1","2","","",""
"1701","3468335506210","TL KNITTED POLY","179.00","10","","9","1","",""
"1702","3468335506227","TL KNITTED POLY","179.00","10","1","8","1","",""
"1703","3468335506234","TL KNITTED POLY","179.00","9","2","6","1","",""
"1704","3468335506241","TL KNITTED POLY","179.00","10","2","7","1","",""
"1705","3468335506258","TL KNITTED POLY","179.00","10","","9","1","",""
"1706","3468335506265","TL KNITTED POLY","179.00","10","","9","1","",""
"1707","3468335506272","TL KNITTED POLY","179.00","3","","3","","",""
"1708","3468335506296","TL KNITTED POLY","149.00","1","","","1","",""
"1709","3468335506302","TL KNITTED POLY","149.00","1","","","1","",""
"1710","3468335506319","TL KNITTED POLY","149.00","1","","","1","",""
"1711","3468335506326","TL KNITTED POLY","149.00","1","","","1","",""
"1712","3468335506333","TL KNITTED POLY","149.00","1","","","1","",""
"1713","3468335506340","TL KNITTED POLY","149.00","1","","","1","",""
"1714","3468335506357","TL KNITTED POLY","149.00","1","","","1","",""
"1715","3468335506371","TL KNITTED POLY","139.90","1","1","","","",""
"1716","3468335506388","TL KNITTED POLY","139.00","","","","","",""
"1717","3468335506395","TL KNITTED POLY","139.00","","","","","",""
"1718","3468335506401","TL KNITTED POLY","139.00","","","","","",""
"1719","3468335506418","TL KNITTED POLY","139.00","","","","","",""
"1720","3468335506425","TL KNITTED POLY","139.00","","","","","",""
"1721","3468335506432","TL KNITTED POLY","139.90","1","","","1","",""
"1722","3468335506456","TL KNITTED POLY","149.00","1","","","1","",""
"1723","3468335506463","TL KNITTED POLY","149.00","1","","","1","",""
"1724","3468335506470","TL KNITTED POLY","149.00","","","","","",""
"1725","3468335506487","TL KNITTED POLY","149.00","1","","","1","",""
"1726","3468335506494","TL KNITTED POLY","149.00","1","","","1","",""
"1727","3468335506500","TL KNITTED POLY","149.00","1","","","1","",""
"1728","3468335506517","TL KNITTED POLY","149.00","1","","","1","",""
"1729","3468335506623","TL JACKET BLACK","429.00","","","","","",""
