,פריט,שם פריט,מלאי,מלאי,מלאי,מלאי,מלאי,מלאי
233,3468335506142,TL KNITTED POLY JACKET NAVY,8,2,0,6,0,0
234,3468335506159,TL KNITTED POLY JACKET NAVY,6,1,0,5,0,0
235,3468335506166,TL KNITTED POLY JACKET NAVY,6,0,0,6,0,0
236,3468335506173,TL KNITTED POLY JACKET NAVY,6,0,0,6,0,0
237,3468335506180,2XLTL KNITTED POLY JACKET NAVY,9,1,0,8,0,0
238,3468335506197,TL KNITTED POLY JACKET NAVY,3,1,0,2,0,0
239,3468335506210,TL KNITTED POLY JACKET-ROYAL,10,0,1,9,0,0
240,3468335506227,TL KNITTED POLY JACKET-ROYAL,10,1,1,8,0,0
241,3468335506234,TL KNITTED POLY JACKET-ROYAL,9,2,1,6,0,0
242,3468335506241,TL KNITTED POLY JACKET-ROYAL,10,2,1,7,0,0
243,3468335506258,TL KNITTED POLY JACKET-ROYAL,10,0,1,9,0,0
244,3468335506265,TL KNITTED POLY JACKET-ROYAL,10,0,1,9,0,0
245,3468335506272,TL KNITTED POLY JACKET-ROYAL,3,0,0,3,0,0
246,3468335506296,TL KNITTED POLY PANT-BLACK,1,0,1,0,0,0
247,3468335506302,TL KNITTED POLY PANT-BLACK,1,0,1,0,0,0
248,3468335506319,TL KNITTED POLY PANT-BLACK,1,0,1,0,0,0
249,3468335506326,TL KNITTED POLY PANT-BLACK,1,0,1,0,0,0
250,3468335506333,TL KNITTED POLY PANT-BLACK,1,0,1,0,0,0
251,3468335506340,TL KNITTED POLY PANT-BLACK,1,0,1,0,0,0
252,3468335506357,TL KNITTED POLY PANT-BLACK,1,0,1,0,0,0
253,3468335506371,TL KNITTED POLY PANT NAVY,1,1,0,0,0,0
254,3468335506432,TL KNITTED POLY PANT NAVY,1,0,1,0,0,0
255,3468335506456,TL KNITTED POLY PANT-ROYAL,1,0,1,0,0,0
256,3468335506463,TL KNITTED POLY PANT-ROYAL,1,0,1,0,0,0
