קוד דגם,צבע,מידה,ברקוד
AR004372101,101,43,3468336609835
AR004372101,101,44,3468336611784
AR004372101,101,45,3468336613917
AR004372101,101,46,3468336615874
AR004372102,102,40,3468336611883
AR004372102,102,41,3468336613955
AR004372102,102,42,3468336616024
AR004372102,102,43,3468336618080
AR004372102,102,44,3468336610695
AR004372102,102,45,3468336612798
AR004372102,102,46,3468336614693
AR004372103,103,40,3468336610749
AR004372103,103,41,3468336612811
AR004372103,103,42,3468336614808
AR004372103,103,43,3468336616918
AR004372103,103,44,3468336609491
AR004372103,103,45,3468336611524
AR004372103,103,46,3468336613658
AR004401100,100,TU,3468336608012
AR004401500,500,TU,3468336604090
AR004651405,405,28,3468337123316
AR004651405,405,30,3468337123200
AR004651405,405,32,3468337120049
AR004651405,405,34,3468337120506
AR004651405,405,36,3468337120995
AR004651405,405,38,3468337121459
AR004651405,405,40,3468337121374
AR004651405,405,42,3468337121893
AR004651405,405,44,3468337122340
AR004651691,691,28,3468337967620
AR004651691,691,30,3468337967637
AR004651691,691,32,3468337967644
AR004651691,691,34,3468337967651
AR004651691,691,36,3468337967668
AR004651691,691,38,3468337967675
AR004651691,691,40,3468337967682
AR004651691,691,42,3468337967699
AR004651691,691,44,3468337967705
AR004651699,699,28,3468337967712
AR004651699,699,30,3468337967729
AR004651699,699,32,3468337967736
AR004651699,699,34,3468337967743
AR004651699,699,36,3468337967750
AR004651699,699,38,3468337967767
AR004651699,699,40,3468337967774
AR004651699,699,42,3468337967781
AR004651699,699,44,3468337967798
AR004651701,701,28,3468337120148
AR004651701,701,30,3468337120032
AR004651701,701,32,3468337120490
AR004651701,701,34,3468337120988
AR004651701,701,36,3468337121442
AR004651701,701,38,3468337121954
AR004651701,701,40,3468337121879
AR004651701,701,42,3468337122319
AR004651701,701,44,3468337122807
AR004651702,702,28,3468337121039
AR004651702,702,30,3468337120926
AR004651702,702,32,3468337121398
AR004651702,702,34,3468337121916
AR004651702,702,36,3468337122364
AR004651702,702,38,3468337122852
AR004651702,702,40,3468337122746
AR004651702,702,42,3468337123217
AR004651702,702,44,3468337120056
AR004651780,780,28,3468337967804
AR004651780,780,30,3468337967811
AR004651780,780,32,3468337967828
AR004651780,780,34,3468337967835
AR004651780,780,36,3468337967842
AR004651780,780,38,3468337967859
AR004651780,780,40,3468337967866
AR004651780,780,42,3468337967873
AR004651780,780,44,3468337967880
AR004651933,933,28,3468337967897
AR004651933,933,30,3468337967903
AR004651933,933,32,3468337967910
AR004651933,933,34,3468337967927
AR004651933,933,36,3468337967934
AR004651933,933,38,3468337967941
AR004651933,933,40,3468337967958
AR004651933,933,42,3468337967965
AR004651933,933,44,3468337967972
AR004651969,969,28,3468337967989
AR004651969,969,30,3468337967996
AR004651969,969,32,3468337968009
AR004651969,969,34,3468337968016
AR004651969,969,36,3468337968023
AR004651969,969,38,3468337968030
AR004651969,969,40,3468337968047
AR004651969,969,42,3468337968054
AR004651969,969,44,3468337968061
AR004714104,104,TU,3468336911150
AR004714105,105,TU,3468336911136
AR004732569,569,30,3468337968078
AR004732569,569,32,3468337968085
AR004732569,569,34,3468337968092
AR004732569,569,36,3468337968108
AR004732569,569,38,3468337968115
AR004732569,569,40,3468337968122
AR004732569,569,42,3468337968139
AR004732569,569,44,3468337968146
AR004732695,695,30,3468337968153
AR004732695,695,32,3468337968160
AR004732695,695,34,3468337968177
AR004732695,695,36,3468337968184
AR004732695,695,38,3468337968191
AR004732695,695,40,3468337968207
AR004732695,695,42,3468337968214
AR004732695,695,44,3468337968221
AR004732887,887,30,3468337968238
AR004732887,887,32,3468337968245
AR004732887,887,34,3468337968252
AR004732887,887,36,3468337968269
AR004732887,887,38,3468337968276
AR004732887,887,40,3468337968283
AR004732887,887,42,3468337968290
AR004732887,887,44,3468337968306
AR004732938,938,30,3468337968313
AR004732938,938,32,3468337968320
AR004732938,938,34,3468337968337
AR004732938,938,36,3468337968344
AR004732938,938,38,3468337968351
AR004732938,938,40,3468337968368
AR004732938,938,42,3468337968375
AR004732938,938,44,3468337968382
AR004760450,450,32,3468336647103
AR004760450,450,34,3468336641408
AR004760450,450,36,3468336645789
AR004760450,450,38,3468336649985
AR004760450,450,40,3468336650073
AR004760450,450,42,3468336644454
AR004760450,450,44,3468336648773
AR004760450,450,46,3468336643167
AR004760450,450,48,3468336647646
AR004760550,550,32,3468336645109
AR004760550,550,34,3468336649305
AR004760550,550,36,3468336643679
AR004760550,550,38,3468336648223
AR004760550,550,40,3468336648353
AR004760550,550,42,3468336642566
AR004760550,550,44,3468336647097
AR004760550,550,46,3468336641392
AR004760550,550,48,3468336645772
AR004760566,566,32,3468337959038
AR004760566,566,34,3468337959045
AR004760566,566,36,3468337959052
AR004760566,566,38,3468337959069
AR004760566,566,40,3468337959076
AR004760566,566,42,3468337959083
AR004760566,566,44,3468337959090
AR004760566,566,46,3468337959106
AR004760566,566,48,3468337959113
AR004760750,750,32,3468336641477
AR004760750,750,34,3468336645864
AR004760750,750,36,3468336650035
AR004760750,750,38,3468336644409
AR004760750,750,40,3468336644508
AR004760750,750,42,3468336648803
AR004760750,750,44,3468336643198
AR004760750,750,46,3468336647691
AR004760750,750,48,3468336641828
