משפחה,ספק מועדף,מקט ספק פרמטר 4,מקט,תיאור פריט,תיאור פריט,צבע,מותג,דויזן,מגדר,עונה/שנה,עונה,מאפיין,ענף ספורט end use,רויאלטיז,מחלקה במחסן,מגה תת קבוצה,סרגל,,מחיר בסיס/מחיר צרכן קטלוגי,סוג חלוקה,מחיר קנייה EUR,קוד מטבע,תקן עלות ₪,קוד מיון אליטל,מחירון 1/סיטונאי קטלוגי,מחירון 2/סיטונאי נטו,מחירון 3/צרכן רשת,מחירון 4/ סיטונאי MGS
00609,3100310055,003251110,AR003251110,COBRA CORE SWIPE MIRROR,COBRA CORE SWIPE MIRROR,110,40029,14,30,SS27,SS,,SWIM,,UNIT,,1,,289,,14.55,EUR,,UNIT,144,,289,
00609,3100310055,003251120,AR003251120,COBRA CORE SWIPE MIRROR,COBRA CORE SWIPE MIRROR,120,40029,14,30,SS27,SS,,SWIM,,UNIT,,1,,289,,14.55,EUR,,UNIT,144,,289,
00609,3100310055,003251130,AR003251130,COBRA CORE SWIPE MIRROR,COBRA CORE SWIPE MIRROR,130,40029,14,30,SS27,SS,,SWIM,,UNIT,,1,,289,,14.55,EUR,,UNIT,144,,289,
00609,3100310055,003251550,AR003251550,COBRA CORE SWIPE MIRROR,COBRA CORE SWIPE MIRROR,550,40029,14,30,SS27,SS,,SWIM,,UNIT,,1,,289,,14.55,EUR,,UNIT,144,,289,
00609,3100310055,003251999,AR003251999,COBRA CORE SWIPE MIRROR,COBRA CORE SWIPE MIRROR,999,40029,14,30,SS27,SS,,SWIM,,UNIT,,1,,289,,14.55,EUR,,UNIT,144,,289,
00611,3100310055,003262100,AR003262100,COBRA SERIES SILICONE STRAP KIT,COBRA SERIES SILICONE STRAP KIT,100,40029,14,30,SS27,SS,,SWIM,,UNIT,,1,,69,,3.36,EUR,,UNIT,34,,69,
00612,3100310055,003285700,AR003285700,HYDROSOFT II HOOK,HYDROSOFT II HOOK,700,40029,11,31,SS27,SS,,SWIM,,UNIT,,4,,99,,4.92,EUR,,UNIT,50,,99,
00600,3100310055,003589801,AR003589801,FRIENDS KIDS UV L/S TEE,FRIENDS KIDS UV L/S TEE,801,40029,12,33,SS27,SS,,SWIM,,UNIT,,24,,139,,6.94,EUR,,UNIT,70,,139,
00600,3100310055,003589991,AR003589991,FRIENDS KIDS UV L/S TEE,FRIENDS KIDS UV L/S TEE,991,40029,12,33,SS27,SS,,SWIM,,UNIT,,24,,139,,6.94,EUR,,UNIT,70,,139,
00601,3100310055,003605690,AR003605690,ARENA LOGO KIDS GIRL ONE PIECE,ARENA LOGO KIDS GIRL ONE PIECE,690,40029,12,30,SS27,SS,,SWIM,,UNIT,,24,,99,,4.92,EUR,,UNIT,50,,99,
00601,3100310055,003605988,AR003605988,ARENA LOGO KIDS GIRL ONE PIECE,ARENA LOGO KIDS GIRL ONE PIECE,988,40029,12,30,SS27,SS,,SWIM,,UNIT,,24,,99,,4.92,EUR,,UNIT,50,,99,
