SKU,Article,EAN,Style,Style Description,Colorway,Colorway Description,Segment,Product Type,Consumer Target,Sizes Overview,Size,Made-In,Taric,Collection Type,Carry Over,SWP EUR,RSP EUR
001198_908_34,001198908,3468337870951,001198,W ARENA ONE BIGLOGO ONE PIECE,908,PLUM-WATER,Swimwear,One piece,Woman,"30, 32, 34, 36, 38, 40, 42, 44",34,Cambodia,6112419000,Global,Y,22.85714,48
001198_908_36,001198908,3468337870968,001198,W ARENA ONE BIGLOGO ONE PIECE,908,PLUM-WATER,Swimwear,One piece,Woman,"30, 32, 34, 36, 38, 40, 42, 44",36,Cambodia,6112419000,Global,Y,22.85714,48
001198_908_38,001198908,3468337870975,001198,W ARENA ONE BIGLOGO ONE PIECE,908,PLUM-WATER,Swimwear,One piece,Woman,"30, 32, 34, 36, 38, 40, 42, 44",38,Cambodia,6112419000,Global,Y,22.85714,48
001198_908_40,001198908,3468337870982,001198,W ARENA ONE BIGLOGO ONE PIECE,908,PLUM-WATER,Swimwear,One piece,Woman,"30, 32, 34, 36, 38, 40, 42, 44",40,Cambodia,6112419000,Global,Y,22.85714,48
001198_908_42,001198908,3468337870999,001198,W ARENA ONE BIGLOGO ONE PIECE,908,PLUM-WATER,Swimwear,One piece,Woman,"30, 32, 34, 36, 38, 40, 42, 44",42,Cambodia,6112419000,Global,Y,22.85714,48
001198_908_44,001198908,3468337871002,001198,W ARENA ONE BIGLOGO ONE PIECE,908,PLUM-WATER,Swimwear,One piece,Woman,"30, 32, 34, 36, 38, 40, 42, 44",44,Cambodia,6112419000,Global,Y,22.85714,48
001198_960_30,001198960,3468337967231,001198,W ARENA ONE BIGLOGO ONE PIECE,960,FRESIA ROSE-BLUE COSMO,Swimwear,One piece,Woman,"30, 32, 34, 36, 38, 40, 42, 44",30,Cambodia,6112419000,Global,Y,22.85714,48
001198_960_32,001198960,3468337967248,001198,W ARENA ONE BIGLOGO ONE PIECE,960,FRESIA ROSE-BLUE COSMO,Swimwear,One piece,Woman,"30, 32, 34, 36, 38, 40, 42, 44",32,Cambodia,6112419000,Global,Y,22.85714,48
001198_960_34,001198960,3468337967255,001198,W ARENA ONE BIGLOGO ONE PIECE,960,FRESIA ROSE-BLUE COSMO,Swimwear,One piece,Woman,"30, 32, 34, 36, 38, 40, 42, 44",34,Cambodia,6112419000,Global,Y,22.85714,48
001198_960_36,001198960,3468337967262,001198,W ARENA ONE BIGLOGO ONE PIECE,960,FRESIA ROSE-BLUE COSMO,Swimwear,One piece,Woman,"30, 32, 34, 36, 38, 40, 42, 44",36,Cambodia,6112419000,Global,Y,22.85714,48
001198_960_38,001198960,3468337967279,001198,W ARENA ONE BIGLOGO ONE PIECE,960,FRESIA ROSE-BLUE COSMO,Swimwear,One piece,Woman,"30, 32, 34, 36, 38, 40, 42, 44",38,Cambodia,6112419000,Global,Y,22.85714,48
001198_960_40,001198960,3468337967286,001198,W ARENA ONE BIGLOGO ONE PIECE,960,FRESIA ROSE-BLUE COSMO,Swimwear,One piece,Woman,"30, 32, 34, 36, 38, 40, 42, 44",40,Cambodia,6112419000,Global,Y,22.85714,48
001198_960_42,001198960,3468337967293,001198,W ARENA ONE BIGLOGO ONE PIECE,960,FRESIA ROSE-BLUE COSMO,Swimwear,One piece,Woman,"30, 32, 34, 36, 38, 40, 42, 44",42,Cambodia,6112419000,Global,Y,22.85714,48
